Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,TPV,ActiveAccounts,PaymentTransactions,TransactionsPerAccount
FY2024,31797,16100,50.6,5325,16.7,4147,13.0,3.99,7450,683,6767,20417,9879,6561,1039,1680000,434,26300,60.6
FY2023,29771,15386,51.7,5028,16.9,4246,14.3,3.84,4843,623,4220,21051,9676,9081,1107,1530000,426,25000,58.7
FY2022,27518,15345,55.8,3837,13.9,2419,8.8,2.09,5813,706,5107,16978,9659,7776,1158,1360000,432,22300,51.4
FY2021,25371,16068,63.3,3924,15.5,4169,16.4,3.52,6340,908,5432,21727,8049,5197,1184,1250000,426,19300,45.3
FY2020,21454,14281,66.6,2639,12.3,4202,19.6,3.54,5854,866,4988,20019,8939,4794,1188,936000,377,15400,40.9
FY2019,17772,12218,68.7,2340,13.2,2459,13.8,2.07,4071,704,3367,16885,4965,7349,1188,712000,305,11800,38.7
FY2018,15451,11168,72.3,2230,14.4,2057,13.3,1.71,5480,823,4657,,,7575,1202,578000,267,9500,35.6
FY2017,13094,9241,70.6,2050,15.7,1795,13.7,1.47,2886,,,16012,2427,5722,1222,451000,227,7600,33.5
FY2016,10842,7715,71.2,1586,14.6,1401,12.9,1.15,2025,,,,,1220,354000,197,6100,31.0
FY2015,9248,6787,73.4,1461,15.8,1228,13.3,1.00,1478,,,12529,,,1228,282000,179,4900,27.4
Q3-2024,7847,4006,51.0,1391,17.7,1010,12.9,0.99,,,,,9976,7272,1024,423000,432,6600,
Q2-2024,7885,3943,50.0,1325,16.8,1128,14.3,1.08,,,,,9975,7701,1047,417000,429,6600,
Q1-2024,7699,3782,49.1,1168,15.2,888,11.5,0.83,,,,,9676,9081,1072,404000,427,6500,
Q3-2023,7418,3815,51.4,1168,15.7,1020,13.8,0.93,,,,,,,,388000,428,6300,
Q2-2023,7287,3746,51.4,1133,15.5,1029,14.1,0.92,,,,,,,,377000,431,6100,
Q1-2023,7040,3757,53.4,999,14.2,795,11.3,0.70,,,,,,,,355000,433,5800,
Q3-2022,6850,3278,47.9,779,11.4,559,8.2,0.49,,,,,,,,337000,432,6000,
Q2-2022,6806,3532,51.9,929,13.7,865,12.7,0.76,,,,,,,,340000,433,5800,
Q1-2022,6483,3507,54.1,855,13.2,509,7.9,0.44,,,,,,,,323000,429,5300,
Q3-2021,6182,3609,58.4,1158,18.7,1144,18.5,0.96,,,,,,,,310000,416,4900,
Q2-2021,6238,3775,60.5,1151,18.5,1183,19.0,1.00,,,,,,,,311000,403,4700,
Q1-2021,6033,3708,61.5,1058,17.5,1098,18.2,0.92,,,,,,,,285000,392,4400,
Q3-2020,5459,3259,59.7,977,17.9,1021,18.7,0.86,,,,,,,,247000,361,4000,
Q2-2020,5258,3585,68.2,731,13.9,1513,28.8,1.29,,,,,,,,222000,346,3700,
Q1-2020,4618,2437,52.8,398,8.6,84,1.8,0.07,,,,,,,,191000,325,3300,
Q3-2025,8538,4697,55.0,1647,19.3,1367,16.0,1.40,1718,,,,,,976,458000,433,7000,
Q2-2025,8348,4732,56.7,1630,19.5,1344,16.1,1.36,692,,,,,,987,424000,431,6800,
Q1-2025,8301,4783,57.6,1558,18.8,1324,15.9,1.32,964,,,,,,1002,417000,432,6000,
