Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,1420.0,,,,2557.0,180.1,,8319.0,585.8,3.9,1113.0,0.0,1113.0,95580.0,,,7223.0,24557.0,2133.1,,,,,,,millions,HKD
FY2018,1555.0,,,,1528.0,98.3,,7636.0,491.1,3.58,2555.0,1.0,2554.0,83557.0,,,3437.0,5229.0,2133.0,,,,,,,millions,HKD
FY2019,1348.0,,,,1760.0,130.6,,7131.0,529.0,3.34,1849.0,0.0,1849.0,85492.0,,,3324.0,3239.0,2135.0,,,,,,,millions,HKD
FY2020,1270.0,,,,1175.0,92.5,,6132.0,482.8,2.87,962.0,2.0,960.0,84766.0,,,3642.0,3388.0,2136.6,,,,,,,millions,HKD
FY2021,1276.0,,,,1501.0,117.6,,6140.0,481.2,2.88,939.0,0.0,939.0,86767.0,,,3436.0,4241.0,2131.9,,,,,,,millions,HKD
FY2022,1265.0,,,,1164.0,92.0,,5649.0,446.6,2.65,772.0,1.0,771.0,86857.0,,,3237.0,2883.0,2131.7,,,,,,,millions,HKD
H1 FY2023,662.0,,,,750.0,113.3,,2959.0,447.0,1.39,613.0,1.0,612.0,,,,,1610.0,2128.8,,,,,,,millions,HKD
FY2023,1292.0,,,,1131.0,87.5,,6003.0,464.6,2.82,1138.0,2.0,1136.0,88752.0,,,3098.0,2456.0,2128.7,,,,,,,millions,HKD
H1 FY2024,454.0,,,,489.0,107.7,,3006.0,662.1,1.41,179.0,0.0,179.0,86563.0,,,2864.0,1447.0,2131.9,,,,,,,millions,HKD
FY2024,919.0,,,,666.0,72.5,,6119.0,665.8,2.87,941.0,0.0,941.0,87076.0,,,2507.0,2733.0,2132.1,,,,,,,millions,HKD
H1 FY2025,352.0,,,,344.0,97.7,,3042.0,864.2,1.43,115.0,1.0,114.0,88917.0,,,3768.0,1559.0,2127.3,,,,,,,millions,HKD
FY2025,771.0,,,,540.0,70.0,,6236.0,808.8,2.93,884.0,1.0,883.0,90725.0,,,3319.0,2141.0,2128.3,,,,,,,millions,HKD
