Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,EBITDAMargin
FY2017,19.991,,,,1.801,9.0,2.087,1.310,6.6,9.3,1.681,0.206,1.475,3.519,,,0.0,2.080,14.060,,6.75,,,10.4
FY2018,22.732,,,,1.904,8.4,2.273,1.332,5.9,9.3,1.622,0.188,1.434,4.011,,,0.0,1.956,14.560,,7.50,,,10.0
H1 FY2019,12.726,,,,0.300,2.4,0.582,0.192,1.5,1.3,0.170,0.233,-0.063,3.714,,,0.0,1.385,14.560,,2.00,,,4.6
FY2019,25.155,,,,0.788,3.1,1.373,0.670,2.7,4.6,0.356,0.386,-0.030,3.934,,,0.0,1.182,14.640,,4.00,,,5.5
FY2020,34.030,,,,2.873,8.4,4.354,1.866,5.5,12.7,5.766,0.222,5.544,4.893,,,0.0,5.012,14.640,,9.00,,,12.8
H1 FY2021,18.522,,,,2.083,11.2,2.845,1.449,7.8,9.9,2.538,0.053,2.485,5.369,,,0.0,6.063,14.640,,7.00,,,15.4
FY2021,35.445,,,,2.775,7.8,4.214,2.034,5.7,13.9,2.608,0.749,1.859,4.935,,,0.0,4.713,14.640,,11.00,,,11.9
H1 FY2022,23.718,,,,3.048,12.8,3.621,2.032,8.6,13.9,3.341,0.038,3.303,6.450,,,0.0,6.998,14.640,,9.00,,,15.3
FY2022,40.127,,,,3.466,8.6,4.519,2.563,6.4,17.5,2.979,0.154,2.825,5.914,,,0.0,5.009,14.720,,13.00,,,11.3
FY2023,40.385,,,,4.662,11.5,5.712,3.425,8.5,23.3,4.843,0.275,4.568,7.351,,,0.0,6.628,14.720,,11.50,,,14.1
H1 FY2024,22.766,,8.642,38.0,3.534,15.5,4.001,2.473,10.9,16.8,2.342,0.104,2.238,9.579,,,0.0,8.291,14.720,,7.00,,,17.6
FY2024,38.668,,14.428,37.3,3.930,10.2,4.835,2.819,7.3,19.2,3.355,0.081,3.274,9.002,,,0.0,7.950,14.720,,9.50,,,12.5
H1 FY2025,26.091,,8.880,34.0,3.264,12.5,3.715,2.343,9.0,15.9,5.188,0.018,5.170,11.252,,,0.0,9.405,14.720,,0.00,,,14.2
FY2025,41.324,,,,3.525,8.5,4.446,2.619,6.3,17.8,4.293,0.065,4.228,11.316,,,0.0,11.193,14.706,,3.00,,,10.8
H1 FY2026,17.092,,4.603,26.9,0.204,1.2,0.690,0.214,1.3,1.5,-0.766,1.309,-2.075,11.127,,,0.0,8.355,14.682,,2.00,,,4.0
